Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,correct_response,fname,ANSWER,condition,talker
332,1605401899932,15/11/2020 00:58:19,1605401899736,-5,14/11/2020 19:58:19,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,112,109,1,Trial,Zone5,content_web_audio,0.6399999838322401,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m160_buy.mp3,,mixed,m160
333,1605401900744,15/11/2020 00:58:20,1605401900660,-5,14/11/2020 19:58:20,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,112,109,1,Trial,Zone3,response_keyboard_single,923.6350000137463,,,f,1,1,0,0,,,,,,Trial,1,f,m160_buy.mp3,,mixed,m160
334,1605401901800,15/11/2020 00:58:21,1605401901724,-5,14/11/2020 19:58:21,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,112,109,1,Trial,Zone1,timelimit_screen,2000.0400000000373,,,,,0,1,0,,,1,,,Trial,1,f,m160_buy.mp3,,mixed,m160
335,1605401901925,15/11/2020 00:58:21,1605401901738,-5,14/11/2020 19:58:21,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,113,110,1,Trial,Zone5,content_web_audio,0.644999963697046,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,j,m160_pie.mp3,,mixed,m160
336,1605401902332,15/11/2020 00:58:22,1605401902250,-5,14/11/2020 19:58:22,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,113,110,1,Trial,Zone4,response_keyboard_single,513.3599999826401,,,j,1,1,0,0,,,,,,Trial,1,j,m160_pie.mp3,,mixed,m160
337,1605401903805,15/11/2020 00:58:23,1605401903724,-5,14/11/2020 19:58:23,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,113,110,1,Trial,Zone1,timelimit_screen,2000.5939999999828,,,,,0,1,0,,,1,,,Trial,1,j,m160_pie.mp3,,mixed,m160
338,1605401903929,15/11/2020 00:58:23,1605401903737,-5,14/11/2020 19:58:23,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,114,111,1,Trial,Zone5,content_web_audio,0.6050000083632767,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,j,m150_pie.mp3,,mixed,m150
339,1605401904416,15/11/2020 00:58:24,1605401904324,-5,14/11/2020 19:58:24,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,114,111,1,Trial,Zone4,response_keyboard_single,587.9900000290945,,,j,1,1,0,0,,,,,,Trial,1,j,m150_pie.mp3,,mixed,m150
340,1605401905822,15/11/2020 00:58:25,1605401905724,-5,14/11/2020 19:58:25,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,114,111,1,Trial,Zone1,timelimit_screen,2000.039999999979,,,,,0,1,0,,,1,,,Trial,1,j,m150_pie.mp3,,mixed,m150
341,1605401905946,15/11/2020 00:58:25,1605401905735,-5,14/11/2020 19:58:25,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,115,112,1,Trial,Zone5,content_web_audio,0.6699999794363976,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,j,m150_pie.mp3,,mixed,m150
342,1605401906369,15/11/2020 00:58:26,1605401906273,-5,14/11/2020 19:58:26,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,115,112,1,Trial,Zone4,response_keyboard_single,538.1150000030175,,,j,1,1,0,0,,,,,,Trial,1,j,m150_pie.mp3,,mixed,m150
343,1605401907807,15/11/2020 00:58:27,1605401907725,-5,14/11/2020 19:58:27,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,115,112,1,Trial,Zone1,timelimit_screen,2000.0400000000373,,,,,0,1,0,,,1,,,Trial,1,j,m150_pie.mp3,,mixed,m150
344,1605401907932,15/11/2020 00:58:27,1605401907737,-5,14/11/2020 19:58:27,24435,13,task-oa7g,,7795092,122500,2316262,,complete,,,computer,Desktop or Laptop,Mac OS 10.12.6,Chrome 86.0.4240.111,1440x900,1440x718,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,One Talker,A,,monologueA,monologueA,116,113,1,Trial,Zone5,content_web_audio,0.8200000156648457,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m150_buy.mp3,,mixed,m150
